!SIL 1.0	SIL
<UNK> 1.0	SPN
EMOTIONAL 1.0	IH M OW SH AH N AH L
LEARNED 1.0	L ER N D
FORTUNATE 1.0	F AO R CH AH N AH T
LINCOLN 1.0	L IH NG K AH N
MARTIN 1.0	M AA R T AH N
KNIFE 1.0	N AY F
LED 1.0	L EH D
DARING 1.0	D EH R IH NG
FORGETTING 1.0	F ER G EH T IH NG
SHOWING 1.0	SH OW IH NG
SHOULD 1.0	SH UH D
LET 1.0	L EH T
LAUGH 1.0	L AE F
KINGS 1.0	K IH NG Z
DECORATED 1.0	D EH K ER EY T AH D
LEGS 1.0	L EH G Z
LONELINESS 1.0	L OW N L IY N AH S
PLANNED 1.0	P L AE N D
USE 1.0	Y UW S
UNTRUE 1.0	AH N T R UW
SEES 1.0	S IY Z
WHETHER 1.0	W EH DH ER
SEATS 1.0	S IY T S
ABSOLVE 1.0	AH B Z AA L V
STRANGERS 1.0	S T R EY N JH ER Z
BURGER 1.0	B ER G ER
MITTENS 1.0	M IH T AH N Z
CUDDLE 1.0	K AH D AH L
SEEN 1.0	S IY N
HEROES 1.0	HH IH R OW Z
ARGUE 1.0	AA R G Y UW
SEEK 1.0	S IY K
MISTRESS 1.0	M IH S T R AH S
MINIMAL 1.0	M IH N AH M AH L
RUNS 1.0	R AH N Z
UNCLEAR 1.0	AH N K L IH R
CLOUDS 1.0	K L AW D Z
WRECKING 1.0	R EH K IH NG
THROWING 1.0	TH R OW IH NG
CAUGHT 1.0	K AA T
SCALES 1.0	S K EY L Z
WHEN 1.0	W EH N
IMPOLITE 1.0	IH M P AH L AY T
CLOUDY 1.0	K L AW D IY
REWARDING 1.0	R IH W AO R D IH NG
ILLUMINATES 1.0	IH L UW M AH N EY T S
COMPROMISE 1.0	K AA M P R AH M AY Z
AURA 1.0	AO R AH
ALFRED 1.0	AE L F R AH D
JONI 1.0	JH OW N IY
PETER 1.0	P IY T ER
BALDLY 1.0	B AO L D L IY
IT'LL 1.0	IH T AH L
STARE 1.0	S T EH R
MAKEUP 1.0	M EY K AH P
FIRE 1.0	F AY ER
THERE 1.0	DH EH R
ANSWER'S 1.0	AE N S ER Z
DISEASE 1.0	D IH Z IY Z
ICE 1.0	AY S
PATRONIZE 1.0	P EY T R AH N AY Z
START 1.0	S T AA R T
SWEAR 1.0	S W EH R
SWEAT 1.0	S W EH T
STARS 1.0	S T AA R Z
STARTED 1.0	S T AA R T AH D
HISTORY 1.0	HH IH S T ER IY
FISTS 1.0	F IH S T S
FOURTH 1.0	F AO R TH
STOLEN 1.0	S T OW L AH N
FROZEN 1.0	F R OW Z AH N
KNIGHT 1.0	N AY T
PRICE 1.0	P R AY S
SYSTEM 1.0	S IH S T AH M
SHRINK 1.0	SH R IH NG K
BRING 1.0	B R IH NG
CATS 1.0	K AE T S
BRAG 1.0	B R AE G
CHILD 1.0	CH AY L D
ROLLING 1.0	R OW L IH NG
STORIES 1.0	S T AO R IY Z
WOKE 1.0	W OW K
CHILL 1.0	CH IH L
GROWN 1.0	G R OW N
SHATTERED 1.0	SH AE T ER D
VALIDATION 1.0	V AE L AH D EY SH AH N
WAY 1.0	W EY
POPE 1.0	P OW P
SIT 1.0	S IH T
YUP 1.0	Y AH P
SIX 1.0	S IH K S
HURRICANE 1.0	HH ER AH K EY N
MOTIVATION 1.0	M OW T AH V EY SH AH N
TRICK 1.0	T R IH K
HILL 1.0	HH IH L
STRANGE 1.0	S T R EY N JH
REPAIR 1.0	R IH P EH R
GAIN 1.0	G EY N
DOUBTS 1.0	D AW T S
STORES 1.0	S T AO R Z
VOICE 1.0	V OY S
GROWS 1.0	G R OW Z
GUYS 1.0	G AY Z
WOMAN 1.0	W UH M AH N
FORCE 1.0	F AO R S
DESERVED 1.0	D IH Z ER V D
THINGS 1.0	TH IH NG Z
FIGHTING 1.0	F AY T IH NG
WAR 1.0	W AO R
ERASE 1.0	IH R EY S
HONESTLY 1.0	AA N AH S T L IY
DROWNED 1.0	D R AW N D
OVERHEAD 1.0	OW V ER HH EH D
TAN 1.0	T AE N
CHEEKS 1.0	CH IY K S
BODY 1.0	B AA D IY
BLONDER 1.0	B L AA N D ER
FIGURE 1.0	F IH G Y ER
HEAD'S 1.0	HH EH D Z
JIM 1.0	JH IH M
FIGHTIN' 1.0	F AY T IH N
TIGHT 1.0	T AY T
LION 1.0	L AY AH N
GIN 1.0	JH IH N
POTIONS 1.0	P OW SH AH N Z
CHILDREN 1.0	CH IH L D R AH N
BEAUTIFUL 1.0	B Y UW T AH F AH L
STAYING 1.0	S T EY IH NG
AHA 1.0	AA HH AA
BOOTY 1.0	B UW T IY
LOOK 1.0	L UH K
HOUSE 1.0	HH AW S
POUNDS 1.0	P AW N D Z
BOOTS 1.0	B UW T S
PACE 1.0	P EY S
I'D 1.0	AY D
COLLEGE 1.0	K AA L IH JH
ROOMS 1.0	R UW M Z
RICH 1.0	R IH CH
MEND 1.0	M EH N D
I'M 1.0	AY M
WATER'S 1.0	W AO T ER Z
VIEW 1.0	V Y UW
SHADOWS 1.0	SH AE D OW Z
GREAT 1.0	G R EY T
USED 1.0	Y UW Z D
JURY 1.0	JH UH R IY
YOU'D 1.0	Y UW D
GETTING 1.0	G EH T IH NG
NAVIGATE 1.0	N AE V AH G EY T
UNTOUCHED 1.0	AH N T AH CH T
GUN 1.0	G AH N
MARKED 1.0	M AA R K T
RESENTMENT 1.0	R IH Z EH N T M AH N T
WON'T 1.0	W OW N T
OVERPROTECTIVE 1.0	OW V ER P R AH T EH K T AH V
MARKER 1.0	M AA R K ER
GUY 1.0	G AY
DRAWING 1.0	D R AO IH NG
MARKET 1.0	M AA R K AH T
HUSH 1.0	HH AH SH
HUG 1.0	HH AH G
CHOSE 1.0	CH OW Z
TANG 1.0	T AE NG
WARNED 1.0	W AO R N D
BREAKING 1.0	B R EY K IH NG
STRONGER 1.0	S T R AO NG ER
BESIDE 1.0	B IH S AY D
TALKING 1.0	T AO K IH NG
PESSIMIST 1.0	P EH S AH M AH S T
INNOCENCE 1.0	IH N AH S AH N S
CHEERLEADER 1.0	CH IH R L IY D ER
POSITION 1.0	P AH Z IH SH AH N
SHYLY 1.0	SH AY L IY
PIRATE 1.0	P AY R AH T
SHINING 1.0	SH AY N IH NG
LOAD 1.0	L OW D
SENDING 1.0	S EH N D IH NG
STARVING 1.0	S T AA R V IH NG
BABE 1.0	B EY B
PREACHING 1.0	P R IY CH IH NG
SAYIN' 1.0	S EY IH N
WATERS 1.0	W AO T ER Z
DRIVES 1.0	D R AY V Z
CONCEDE 1.0	K AH N S IY D
TALKIN' 1.0	T AO K IH N
ROBIN 1.0	R AA B AH N
SAVIOR 1.0	S EY V Y ER
CRACK 1.0	K R AE K
BABY 1.0	B EY B IY
CADILLACS 1.0	K AE D AH L AE K S
SETTE 1.0	S EH T
AGREE 1.0	AH G R IY
CRACKER 1.0	K R AE K ER
SAID 1.0	S EH D
UNDERTOW 1.0	AH N D ER T OW
GETTIN' 1.0	G IH T AH N
CHANCES 1.0	CH AE N S AH Z
TYPE 1.0	T AY P
HARVEY 1.0	HH AA R V IY
BITCHES 1.0	B IH CH IH Z
BELIEVER 1.0	B AH L IY V ER
LIGHTS 1.0	L AY T S
FORGIVE 1.0	F ER G IH V
INVOLVED 1.0	IH N V AA L V D
BELIEVED 1.0	B IH L IY V D
LUCK 1.0	L AH K
LIBERATE 1.0	L IH B ER EY T
WAITED 1.0	W EY T AH D
EX 1.0	EH K S
VEST 1.0	V EH S T
VOLCANOES 1.0	V AA L K EY N OW Z
BENZ 1.0	B EH N Z
DEFEATED 1.0	D IH F IY T AH D
MOONLIGHT 1.0	M UW N L AY T
ENGLAND 1.0	IH NG G L AH N D
STATION 1.0	S T EY SH AH N
BEND 1.0	B EH N D
DREAMT 1.0	D R EH M T
DREAMS 1.0	D R IY M Z
MARKS 1.0	M AA R K S
KEPT 1.0	K EH P T
KNOWS 1.0	N OW Z
HORIZONS 1.0	HH ER AY Z AH N Z
HUH 1.0	HH AH
SOMEHOW 1.0	S AH M HH AW
FEEL 1.0	F IY L
CLUBS 1.0	K L AH B Z
ROME 1.0	R OW M
HIGHWAY 1.0	HH AY W EY
KINDA 1.0	K IH N D AH
CLAY 1.0	K L EY
KNOWN 1.0	N OW N
OUR 1.0	AW ER
MIGHT'VE 1.0	M AY T AH V
FRIEND 1.0	F R EH N D
OUT 1.0	AW T
UNINVITED 1.0	AH N IH N V AY T IH D
BEGINS 1.0	B IH G IH N Z
GOBLINS 1.0	G AA B L IH N Z
STOOD 1.0	S T UH D
SPIT 1.0	S P IH T
JUSTICE 1.0	JH AH S T AH S
BALLOON 1.0	B AH L UW N
LAUGHS 1.0	L AE F S
STOOP 1.0	S T UW P
PUFF 1.0	P AH F
CLOSING 1.0	K L OW Z IH NG
AIR 1.0	EH R
SPIN 1.0	S P IH N
AIM 1.0	EY M
PLACES 1.0	P L EY S AH Z
SCOPE 1.0	S K OW P
HOOK 1.0	HH UH K
SHELTER 1.0	SH EH L T ER
ATTRACT 1.0	AH T R AE K T
MOTOWN 1.0	M OW T AW N
PAYIN' 1.0	P EY IH N
SU 1.0	S UW
WRONG 1.0	R AO NG
SO 1.0	S OW
MISERY 1.0	M IH Z ER IY
ROADS 1.0	R OW D Z
SEASONS 1.0	S IY Z AH N Z
ROUGH 1.0	R AH F
DEFINE 1.0	D IH F AY N
GUNS 1.0	G AH N Z
SE 1.0	S AW TH IY S T
SADDEST 1.0	S AE D AH S T
EXCEPTION 1.0	IH K S EH P SH AH N
CAR 1.0	K AA R
CAP 1.0	K AE P
TESTIFY 1.0	T EH S T AH F AY
CAT 1.0	K AE T
RUNNIN' 1.0	R AH N IH N
UNDERSTAND 1.0	AH N D ER S T AE N D
CAN 1.0	K AE N
CAB 1.0	K AE B
WEEKS 1.0	W IY K S
PRAYING 1.0	P R EY IH NG
CORRECT 1.0	K ER EH K T
PUNCHES 1.0	P AH N CH IH Z
DOWNTOWN 1.0	D AW N T AW N
COAT 1.0	K OW T
NAILS 1.0	N EY L Z
DRINK 1.0	D R IH NG K
CHOO 1.0	CH UW
AMOUNT 1.0	AH M AW N T
BLOOD 1.0	B L AH D
INNOCENT 1.0	IH N AH S AH N T
INCH 1.0	IH N CH
DYE 1.0	D AY
SMILING 1.0	S M AY L IH NG
PISTOL 1.0	P IH S T AH L
BLOOM 1.0	B L UW M
GRIP 1.0	G R IH P
MEANT 1.0	M EH N T
GLAMOROUS 1.0	G L AE M ER AH S
STAKE 1.0	S T EY K
SOMEBODY 1.0	S AH M B AA D IY
FIESTA 1.0	F IY EH S T AH
BREAKS 1.0	B R EY K S
RAIN 1.0	R EY N
PEARL 1.0	P ER L
OTHER 1.0	AH DH ER
ADORE 1.0	AH D AO R
SMOKE 1.0	S M OW K
FAKE 1.0	F EY K
AWHILE 1.0	AH W AY L
TUNE 1.0	T UW N
SEEMING 1.0	S IY M IH NG
CHEATING 1.0	CH IY T IH NG
WARNING 1.0	W AO R N IH NG
P 1.0	P IY
MAKE 1.0	M EY K
RUNNING 1.0	R AH N IH NG
PRODUCE 1.0	P R AH D UW S
DISTANT 1.0	D IH S T AH N T
GREENER 1.0	G R IY N ER
FLUTTERING 1.0	F L AH T ER IH NG
BEDTIME 1.0	B EH D T AY M
GIRLFRIEND'S 1.0	G ER L F R EH N D Z
COUPLE 1.0	K AH P AH L
SEEMS 1.0	S IY M Z
FORTY 1.0	F AO R T IY
ROYALS 1.0	R OY AH L Z
CRUSH 1.0	K R AH SH
MIX 1.0	M IH K S
POLITELY 1.0	P AH L AY T L IY
LINE 1.0	L AY N
MYSTERIOUSLY 1.0	M IH S T IH R IY AH S L IY
FORTH 1.0	F AO R TH
TRIPS 1.0	T R IH P S
BRAVER 1.0	B R EY V ER
GRAVE 1.0	G R EY V
STRAW 1.0	S T R AO
SEAMSTRESS 1.0	S IY M S T R IH S
HEADPHONES 1.0	HH EH D F OW N Z
STEADY 1.0	S T EH D IY
LONG 1.0	L AO NG
CHEMICALS 1.0	K EH M IH K AH L Z
OVERDRIVE 1.0	OW V ER D R AY V
EVERY 1.0	EH V ER IY
THOUGHTS 1.0	TH AO T S
HANGING 1.0	HH AE NG IH NG
RUBIN'S 1.0	R UW B IH N Z
DENYING 1.0	D IH N AY IH NG
LOUNGE 1.0	L AW N JH
DRUNKARDS 1.0	D R AH NG K ER D Z
INSECURE 1.0	IH N S AH K Y ER
SIGHTS 1.0	S AY T S
L 1.0	EH L
YOURSELF 1.0	Y ER S EH L F
LIPS 1.0	L IH P S
TAUGHT 1.0	T AO T
PALM 1.0	P AA M
HANGIN' 1.0	HH AE NG G IH N
BILLS 1.0	B IH L Z
PALE 1.0	P EY L
MESSIAH 1.0	M AH S AY AH
BECAUSE 1.0	B IH K AO Z
KILLS 1.0	K IH L Z
RELAX 1.0	R IH L AE K S
CRUSHED 1.0	K R AH SH T
REMOTELY 1.0	R IY M OW T L IY
CROCODILE 1.0	K R AA K AH D AY L
ATTACK 1.0	AH T AE K
SLAMMING 1.0	S L AE M IH NG
SAVE 1.0	S EY V
HOPEFUL 1.0	HH OW P F AH L
SAVING 1.0	S EY V IH NG
REGRET 1.0	R AH G R EH T
SEAT 1.0	S IY T
FINGERS 1.0	F IH NG G ER Z
PASSAGE 1.0	P AE S AH JH
SYMPATHY 1.0	S IH M P AH TH IY
WISHES 1.0	W IH SH IH Z
APPAREL 1.0	AH P AE R AH L
CRACKED 1.0	K R AE K T
BUNDLED 1.0	B AH N D AH L D
PRUDE 1.0	P R UW D
DOESN'T 1.0	D AH Z AH N T
DENY 1.0	D IH N AY
AFRAID 1.0	AH F R EY D
RUDE 1.0	R UW D
BRADLEY'S 1.0	B R AE D L IY Z
EXACTLY 1.0	IH G Z AE K T L IY
THURSDAY 1.0	TH ER Z D EY
FALLS 1.0	F AO L Z
BROUGHT 1.0	B R AO T
PHONE 1.0	F OW N
BREEZE 1.0	B R IY Z
DROPPED 1.0	D R AA P T
CHAIR 1.0	CH EH R
ADMISSION 1.0	AE D M IH SH AH N
EM 1.0	EH M
TEMPERATURE 1.0	T EH M P R AH CH ER
THIRD 1.0	TH ER D
SHY 1.0	SH AY
BECOMING 1.0	B IH K AH M IH NG
WAVE 1.0	W EY V
LET'S 1.0	L EH T S
APOLOGIES 1.0	AH P AA L AH JH IY Z
WITHOUT 1.0	W IH TH AW T
SHE 1.0	SH IY
POST 1.0	P OW S T
BEYOND 1.0	B IH AA N D
TREATED 1.0	T R IY T AH D
HE'LL 1.0	HH IY L
VERSES 1.0	V ER S AH Z
DREAMED 1.0	D R IY M D
ACTING 1.0	AE K T IH NG
PAPER 1.0	P EY P ER
THROUGH 1.0	TH R UW
DELETING 1.0	D IH L IY T IH NG
HOSPITAL 1.0	HH AA S P IH T AH L
DREAMER 1.0	D R IY M ER
GONE 1.0	G AO N
CURSE 1.0	K ER S
DECEIVE 1.0	D IH S IY V
IN 1.0	IH N
IDEA 1.0	AY D IY AH
WHERE'S 1.0	W EH R Z
FOLD 1.0	F OW L D
KEEPS 1.0	K IY P S
SMALL 1.0	S M AO L
STALE 1.0	S T EY L
CALLING 1.0	K AO L IH NG
EASILY 1.0	IY Z AH L IY
NOISE 1.0	N OY Z
REASONS 1.0	R IY Z AH N Z
BITE 1.0	B AY T
HOTEL 1.0	HH OW T EH L
VICIOUS 1.0	V IH SH AH S
COMING 1.0	K AH M IH NG
RUBBER 1.0	R AH B ER
BITCH 1.0	B IH CH
'TIL 1.0	T IH L
SEAR 1.0	S IH R
PUSH 1.0	P UH SH
SLAVES 1.0	S L EY V Z
HALFWAY 1.0	HH AE F W EY
RELATIONSHIPS 1.0	R IY L EY SH AH N SH IH P S
LADIES 1.0	L EY D IY Z
MURDER 1.0	M ER D ER
CENTRAL 1.0	S EH N T R AH L
DEEDS 1.0	D IY D Z
SINCE 1.0	S IH N S
CURVES 1.0	K ER V Z
SPINAL 1.0	S P AY N AH L
BELIE 1.0	B IH L AY
NICKI 1.0	N IH K IY
RISING 1.0	R AY Z IH NG
BLADE 1.0	B L EY D
SCISSORS 1.0	S IH Z ER Z
DIFFERENCE 1.0	D IH F ER AH N S
MATCH 1.0	M AE CH
DRAWN 1.0	D R AO N
THIRTY 1.0	TH ER D IY
FUSSING 1.0	F AH S IH NG
CRAVE 1.0	K R EY V
SOFTLY 1.0	S AO F T L IY
MARRIAGE 1.0	M EH R IH JH
MANNERS 1.0	M AE N ER Z
KEY 1.0	K IY
EACH 1.0	IY CH
ADDICTED 1.0	AH D IH K T AH D
PLEASURE 1.0	P L EH ZH ER
BLUES 1.0	B L UW Z
TREMBLE 1.0	T R EH M B AH L
UNCONTROLLABLE 1.0	AH N K AH N T R OW L AH B AH L
ROCKY 1.0	R AA K IY
GLIDE 1.0	G L AY D
SINS 1.0	S IH N Z
ROCKS 1.0	R AA K S
IMPATIENT 1.0	IH M P EY SH AH N T
FUCKED 1.0	F AH K T
BLISS 1.0	B L IH S
SINK 1.0	S IH NG K
FOLKS 1.0	F OW K S
SING 1.0	S IH NG
MOLD 1.0	M OW L D
'EM 1.0	AH M
SOMETHING'S 1.0	S AH M TH IH NG Z
NORTH 1.0	N AO R TH
EXPOSED 1.0	IH K S P OW Z D
TEAR 1.0	T EH R
REACH 1.0	R IY CH
PINPRICK 1.0	P IH N P R IH K
MASTERPIECE 1.0	M AE S T ER P IY S
MULATTO 1.0	M AH L AA T OW
QUESTIONS 1.0	K W EH S CH AH N Z
HURTS 1.0	HH ER T S
PROOF 1.0	P R UW F
MIDDLEWEIGHT 1.0	M IH D AH L W EY T
CALLED 1.0	K AO L D
HEART'S 1.0	HH AA R T S
AFFAIR 1.0	AH F EH R
STORY 1.0	S T AO R IY
STACKED 1.0	S T AE K T
OVERPRICED 1.0	OW V ER P R AY S T
VERY 1.0	V EH R IY
BATHROOM 1.0	B AE TH R UW M
BEAR 1.0	B EH R
PAINT 1.0	P EY N T
STORM 1.0	S T AO R M
THAT'LL 1.0	DH AE T AH L
SCRIPTURE 1.0	S K R IH P CH ER
STORE 1.0	S T AO R
FROM 1.0	F R AH M
FLAMES 1.0	F L EY M Z
WATCH 1.0	W AA CH
HAVING 1.0	HH AE V IH NG
JOB 1.0	JH AA B
CARELESS 1.0	K EH R L AH S
THUNDEROUS 1.0	TH AH N D ER AH S
BITTER 1.0	B IH T ER
ROLL 1.0	R OW L
ENDINGS 1.0	EH N D IH NG Z
LOVED 1.0	L AH V D
LIGHTERS 1.0	L AY T ER Z
DEADBEAT 1.0	D EH D B IY T
KISSES 1.0	K IH S AH Z
PERFUME 1.0	P ER F Y UW M
FRIENDSHIP 1.0	F R EH N D SH IH P
PICKED 1.0	P IH K T
CAMEL'S 1.0	K AE M AH L Z
KISSED 1.0	K IH S T
BRINGING 1.0	B R IH NG IH NG
CLIMB 1.0	K L AY M
TREAD 1.0	T R EH D
BREATHE 1.0	B R IY DH
DENIAL 1.0	D IH N AY AH L
NURSING 1.0	N ER S IH NG
MILLION 1.0	M IH L Y AH N
NEXT 1.0	N EH K S T
NIRVANA 1.0	N IH R V AA N AH
HEALTHY 1.0	HH EH L TH IY
NIGGER 1.0	N IH G ER
SETTING 1.0	S EH T IH NG
RHYTHM 1.0	R IH DH AH M
UNRAVELED 1.0	AH N R AE V AH L D
THICK 1.0	TH IH K
NAH 1.0	N AA
PATHS 1.0	P AE DH Z
OFF 1.0	AO F
HARLEY 1.0	HH AA R L IY
TRAINS 1.0	T R EY N Z
TOOK 1.0	T UH K
DEAD 1.0	D EH D
FITS 1.0	F IH T S
RESIGNATION 1.0	R EH Z AH G N EY SH AH N
SEVENTEEN 1.0	S EH V AH N T IY N
BURST 1.0	B ER S T
THIS 1.0	DH IH S
CONFRONT 1.0	K AH N F R AH N T
DOLLS 1.0	D AA L Z
ATTITUDE 1.0	AE T AH T UW D
SUNLIGHT 1.0	S AH N L AY T
AWARE 1.0	AH W EH R
JOINT 1.0	JH OY N T
INHIBITION 1.0	IH N HH AH B IH SH AH N
THIN 1.0	TH IH N
THORNS 1.0	TH AO R N Z
BREATHED 1.0	B R IY DH D
CIRCLE 1.0	S ER K AH L
PREACH 1.0	P R IY CH
MYSTERY 1.0	M IH S T ER IY
GUESS 1.0	G EH S
DEATH 1.0	D EH TH
SAYS 1.0	S EH Z
CHAMPION 1.0	CH AE M P IY AH N
INDECISIVE 1.0	IH N D IH S AY S IH V
BRINGS 1.0	B R IH NG Z
TAKIN' 1.0	T EY K IH N
CHANGED 1.0	CH EY N JH D
SKY 1.0	S K AY
BROTHER 1.0	B R AH DH ER
TIED 1.0	T AY D
SHORE 1.0	SH AO R
WONDERFUL 1.0	W AH N D ER F AH L
GRAIL 1.0	G R EY L
TIES 1.0	T AY Z
GOSH 1.0	G AA SH
BORE 1.0	B AO R
PATTY 1.0	P AE T IY
TWIST 1.0	T W IH S T
YARD 1.0	Y AA R D
TRIED 1.0	T R AY D
BURNING 1.0	B ER N IH NG
GET 1.0	G EH T
BEING 1.0	B IY IH NG
ALARMING 1.0	AH L AA R M IH NG
SERVE 1.0	S ER V
SOUL 1.0	S OW L
TRIPPING 1.0	T R IH P IH NG
HITTING 1.0	HH IH T IH NG
DIFFICULTIES 1.0	D IH F AH K AH L T IY Z
WE'RE 1.0	W IY R
REPLACE 1.0	R IY P L EY S
HISS 1.0	HH IH S
WEATHER 1.0	W EH DH ER
TRASHING 1.0	T R AE SH IH NG
CADILLAC 1.0	K AE D AH L AE K
TALES 1.0	T EY L Z
VISIT 1.0	V IH Z AH T
DAYTIME 1.0	D EY T AY M
ZOO 1.0	Z UW
DEEPEST 1.0	D IY P AH S T
VEINS 1.0	V EY N Z
MINOR 1.0	M AY N ER
LIME 1.0	L AY M
AND 1.0	AH N D
MERRY 1.0	M EH R IY
THREAD 1.0	TH R EH D
SHALL 1.0	SH AE L
NEWSPAPERS 1.0	N UW Z P EY P ER Z
REMINDED 1.0	R IY M AY N D AH D
TWIN 1.0	T W IH N
CROWNS 1.0	K R AW N Z
CONNECTION 1.0	K AH N EH K SH AH N
TRANCE 1.0	T R AE N S
INTENT 1.0	IH N T EH N T
AREN'T 1.0	AA R AH N T
ANY 1.0	EH N IY
BILLION 1.0	B IH L Y AH N
SUMMER 1.0	S AH M ER
WEIGHT 1.0	W EY T
DOWNFALL 1.0	D AW N F AO L
COUCH 1.0	K AW CH
DAKOTA 1.0	D AH K OW T AH
SENSITIVE 1.0	S EH N S AH T IH V
PERRY 1.0	P EH R IY
LOADED 1.0	L OW D AH D
EVERLASTING 1.0	EH V ER L AE S T IH NG
STUNTS 1.0	S T AH N T S
THRILL 1.0	TH R IH L
ARMY 1.0	AA R M IY
RATHER 1.0	R AE DH ER
TROUBLES 1.0	T R AH B AH L Z
ARMS 1.0	AA R M Z
GOOSE 1.0	G UW S
MENTION 1.0	M EH N SH AH N
SHACKLED 1.0	SH AE K AH L D
BELIEVING 1.0	B IH L IY V IH NG
PIMP 1.0	P IH M P
TALL 1.0	T AO L
TROUBLED 1.0	T R AH B AH L D
CRAWL 1.0	K R AO L
TALK 1.0	T AO K
MELLOW 1.0	M EH L OW
BLOW 1.0	B L OW
NEEDS 1.0	N IY D Z
BALL 1.0	B AO L
CARTER 1.0	K AA R T ER
HER 1.0	HH ER
TATTOOS 1.0	T AE T UW Z
LOCK 1.0	L AA K
BEGAN 1.0	B IH G AE N
COVER 1.0	K AH V ER
HEY 1.0	HH EY
N 1.0	EH N
DISRESPECT 1.0	D IH S R IH S P EH K T
HUMS 1.0	HH AH M Z
SLIP 1.0	S L IH P
FINDING 1.0	F AY N D IH NG
VOICES 1.0	V OY S AH Z
YOURS 1.0	Y UH R Z
MISTAKE 1.0	M IH S T EY K
CRUMBLES 1.0	K R AH M B AH L Z
TURNING 1.0	T ER N IH NG
WINTER 1.0	W IH N T ER
TOMORROW'S 1.0	T AH M AA R OW Z
SAKE 1.0	S EY K
ONTO 1.0	AA N T UW
SAVES 1.0	S EY V Z
YESTERDAY 1.0	Y EH S T ER D EY
COWARD 1.0	K AW ER D
DECIDED 1.0	D IH S AY D IH D
PREY 1.0	P R EY
PARADISE 1.0	P EH R AH D AY S
PROBABLY 1.0	P R AA B AH B L IY
NASTY 1.0	N AE S T IY
LOVELY 1.0	L AH V L IY
SAVED 1.0	S EY V D
DOWNS 1.0	D AW N Z
EARS 1.0	IH R Z
GIVEN 1.0	G IH V AH N
KICKED 1.0	K IH K T
REMAINED 1.0	R IH M EY N D
FOURTEEN 1.0	F AO R T IY N
KICKER 1.0	K IH K ER
GOODBYE 1.0	G UH D B AY
SITUATION 1.0	S IH CH UW EY SH AH N
NEITHER 1.0	N IY DH ER
ARCH 1.0	AA R CH
TOYS 1.0	T OY Z
BOLD 1.0	B OW L D
TATTOO 1.0	T AE T UW
LITTLE 1.0	L IH T AH L
OWN 1.0	OW N
SWEPT 1.0	S W EH P T
FAR 1.0	F AA R
AWAY 1.0	AH W EY
HUMBLE 1.0	HH AH M B AH L
FAT 1.0	F AE T
STRIDE 1.0	S T R AY D
FAN 1.0	F AE N
ROCK 1.0	R AA K
STACK 1.0	S T AE K
DAYDREAM 1.0	D EY D R IY M
STYLE 1.0	S T AY L
GOOD 1.0	G UH D
LISTENING 1.0	L IH S AH N IH NG
PICTURE 1.0	P IH K CH ER
GOTTA 1.0	G AA T AH
SPOT 1.0	S P AA T
MANIPULATED 1.0	M AH N IH P Y AH L EY T IH D
DIRTY 1.0	D ER T IY
ALLOW 1.0	AH L AW
ARETHA 1.0	ER IY TH AH
FACADE 1.0	F AH S AA D
WHITE 1.0	W AY T
PINK 1.0	P IH NG K
SOMEDAY 1.0	S AH M D EY
BAFFLED 1.0	B AE F AH L D
PLANS 1.0	P L AE N Z
MONTHS 1.0	M AH N TH S
WINDOW 1.0	W IH N D OW
PLANE 1.0	P L EY N
PURE 1.0	P Y UH R
SIGNS 1.0	S AY N Z
GOSSIPING 1.0	G AA S AH P IH NG
POT 1.0	P AA T
T 1.0	T IY
REAL 1.0	R IY L
PAPA 1.0	P AA P AH
ARROW 1.0	AE R OW
SUIT 1.0	S UW T
THREE 1.0	TH R IY
DARK 1.0	D AA R K
FALSELY 1.0	F AO L S L IY
OPPOSED 1.0	AH P OW Z D
HAVE 1.0	HH AE V
PARTY 1.0	P AA R T IY
PASSING 1.0	P AE S IH NG
BENEATH 1.0	B IH N IY TH
DARE 1.0	D EH R
THREW 1.0	TH R UW
GREW 1.0	G R UW
TOUGH 1.0	T AH F
PIN 1.0	P IH N
HINT 1.0	HH IH N T
GREY 1.0	G R EY
PIG 1.0	P IH G
TURN 1.0	T ER N
LIFE'S 1.0	L AY F S
NEIGHBOR 1.0	N EY B ER
RECALL 1.0	R IY K AO L
RECEDING 1.0	R IH S IY D IH NG
CAN'T 1.0	K AE N T
COLLAPSE 1.0	K AH L AE P S
MOUTHS 1.0	M AW DH Z
DANCING 1.0	D AE N S IH NG
TEAM 1.0	T IY M
YEAH 1.0	Y AE
FELLOW 1.0	F EH L OW
WHISKEY 1.0	W IH S K IY
TRIGGER 1.0	T R IH G ER
HAIL 1.0	HH EY L
YEAR 1.0	Y IH R
POLISHED 1.0	P AA L IH SH T
FAME 1.0	F EY M
BEFORE 1.0	B IH F AO R
WIDE 1.0	W AY D
STEREO 1.0	S T EH R IY OW
THINNER 1.0	TH IH N ER
OK 1.0	OW K EY
OH 1.0	OW
OF 1.0	AH V
WITHERING 1.0	W IH DH ER IH NG
BUSSING 1.0	B AH S IH NG
COLLIDE 1.0	K AH L AY D
HEARING 1.0	HH IY R IH NG
NEEDED 1.0	N IY D AH D
DOES 1.0	D AH Z
WEDDING 1.0	W EH D IH NG
READY 1.0	R EH D IY
MOVING 1.0	M UW V IH NG
CRIMINAL 1.0	K R IH M AH N AH L
OR 1.0	AO R
